thematic,mkey,osmtype,osm_id,lat,lon,place,abandoned:place,name,other_tags
Localities,place=village,n,5071048366,-5.9722892,22.8145699,village,,Kamembele,"""name""=>""Kamembele"", ""place""=>""village"", ""source""=>""RGC"""
Localities,place=village,n,4912194197,-4.9069142,28.2769213,village,,,"""place""=>""village"""
Localities,place=village,n,2486103122,3.74069,22.097513,village,,Gweni,"""name""=>""Gweni"", ""note""=>""Gweni"", ""place""=>""village"", ""source""=>""GNS"""
Localities,place=village,n,4516792673,3.1688429,18.9991382,village,,Vumbo-Kete,"""name""=>""Vumbo-Kete"", ""place""=>""village"", ""source""=>""RGC"""
Localities,place=village,n,5651254064,-2.7478682,28.1085549,village,,,"""place""=>""village"""
Localities,place=village,n,5638673945,-0.6028048,18.312105,village,,Bonyamba,"""name""=>""Bonyamba"", ""place""=>""village"", ""source""=>""MSF"", ""msf:pcode""=>""cod040033"", ""source:date""=>""2018-05-20"""
Localities,place=village,n,1161448638,-4.5102,18.83391,village,,Camp Insitut Ma Campagne,"""name""=>""Camp Insitut Ma Campagne"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2008/11/15"", ""is_in:groupement""=>""Mpene"", ""is_in:territoire""=>""Bulungu"", ""is_in:collectivité""=>""Kwilu-Kimbata"""
Localities,place=village,n,4984675926,-6.905502,22.0101021,village,,Zowo,"""name""=>""Zowo"", ""place""=>""village"", ""source""=>""RGC"""
Localities,place=village,n,1156255458,-5.5488889,22.2819444,village,,Tshileta,"""name""=>""Tshileta"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2010/04/21"", ""is_in:territoire""=>""Dibaya"""
Localities,place=village,n,1156254992,-5.8305556,22.2741667,village,,Tshikuma,"""name""=>""Tshikuma"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2010/04/21"", ""is_in:territoire""=>""Dibaya"""
Localities,place=village,n,5789880829,1.9174094,26.4646446,village,,,"""place""=>""village"""
Localities,place=village,n,1161077609,-4.8823,17.91189,village,,Mumanga,"""name""=>""Mumanga"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2009/05/13"", ""is_in:groupement""=>""Kiamfu"", ""is_in:territoire""=>""Masi-Manimba"", ""is_in:collectivité""=>""Masi-Manimba"""
Localities,place=hamlet,n,3048320565,-2.0932646,21.1085226,hamlet,,Boliko,"""name""=>""Boliko"", ""place""=>""hamlet"", ""source""=>""SYGIAP project (UCL and UGent)"", ""alt_name""=>""Boliko"""
Localities,place=village,n,1156634875,-2.8506683,26.828154,village,,Kamili,"""name""=>""Kamili"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2008/11/30"", ""is_in:groupement""=>""N'Sange"", ""is_in:territoire""=>""Pangi"", ""is_in:collectivité""=>""Beia"""
